user_id,place_id,rating,form_version,study_frequency,main_study_purpose,usual_group_size,noise_tolerance,crowd_tolerance,wifi_importance,outlet_importance,table_capacity_importance,distance_tolerance,preferred_study_time,study_on_sundays,usual_group_size_raw,avg_session_spending_raw,avg_session_spending_numeric,avg_session_spending_open_ended,distance_tolerance_raw,distance_tolerance_unlimited,study_on_sundays_numeric,place_name,area,place_type,maps_url,noise_level,crowd_level,table_capacity,wifi_quality,power_outlet_availability,average_price,distance_to_binus_km,open_time,close_time,open_on_sundays,open_minutes,close_minutes,is_24_hours,closes_next_day,opening_duration_hours,noise_gap,crowd_gap,wifi_gap,outlet_gap,table_capacity_gap,price_gap,distance_gap,sunday_match,preferred_time_match
u1,1,3.0,a,4,Solo study,1,2,2,4,5,2,3.0,Afternoon,Sometimes,1,"50,000",50000.0,0,3,0,0.5,LKC Discussion Room,BINUS Alam Sutera,Campus Space,https://maps.app.goo.gl/CRkRgCxV6U5izVxt5,1,1,8,3,5,0,0.0,09:00,17:00,0,540,1020,0,0,8.0,-1,-1,-1,0,7,-50000.0,-3.0,0.5,1.0
u1,3,3.0,a,4,Solo study,1,2,2,4,5,2,3.0,Afternoon,Sometimes,1,"50,000",50000.0,0,3,0,0.5,McDonald's Downtown Alam Sutera,Alam Sutera,Restaurant / Fast Food,https://maps.app.goo.gl/AgJAKPBdUYqTKXSR6,4,3,4,4,3,60000,1.3,00:00,23:59,1,0,1439,1,0,24.0,2,1,0,-2,3,10000.0,-1.7,0.5,1.0
u1,20,4.0,a,4,Solo study,1,2,2,4,5,2,3.0,Afternoon,Sometimes,1,"50,000",50000.0,0,3,0,0.5,Starbucks DT Pacific Garden Alam Sutera,Alam Sutera,Cafe,https://maps.app.goo.gl/SU1XB2nxLQsGJuN6A,2,3,3,5,5,75000,0.3,07:00,22:00,1,420,1320,0,0,15.0,0,1,1,0,2,25000.0,-2.7,0.5,1.0
u1,35,1.0,a,4,Solo study,1,2,2,4,5,2,3.0,Afternoon,Sometimes,1,"50,000",50000.0,0,3,0,0.5,Two Stories Resto & Lounge,Alam Sutera,Restaurant / Fast Food,https://maps.app.goo.gl/FTQGbdiW11xiM9qK9,3,3,4,3,4,150000,2.2,10:00,23:59,1,600,1439,0,0,13.983333333333333,1,1,-1,-1,3,100000.0,-0.7999999999999998,0.5,1.0
u1,10,4.0,a,4,Solo study,1,2,2,4,5,2,3.0,Afternoon,Sometimes,1,"50,000",50000.0,0,3,0,0.5,IKEA Restaurant Alam Sutera,Alam Sutera,Restaurant / Fast Food,https://maps.app.goo.gl/F5zXK9v3wiAnuPmaA,4,3,4,4,4,75000,1.6,10:00,21:30,1,600,1290,0,0,11.5,2,1,0,-1,3,25000.0,-1.4,0.5,1.0
u1,2,5.0,a,4,Solo study,1,2,2,4,5,2,3.0,Afternoon,Sometimes,1,"50,000",50000.0,0,3,0,0.5,Monday Coffee Alam Sutera,Alam Sutera,Cafe,https://maps.app.goo.gl/qMwRkAbsosHvLtnS7,2,2,4,5,4,40000,0.5,07:30,22:00,1,450,1320,0,0,14.5,0,0,1,-1,3,-10000.0,-2.5,0.5,1.0
u1,7,3.0,a,4,Solo study,1,2,2,4,5,2,3.0,Afternoon,Sometimes,1,"50,000",50000.0,0,3,0,0.5,Kopi Kenangan - Alam Sutera (DT),Alam Sutera,Cafe,https://maps.app.goo.gl/GLsrt7KQieJPFLt48,4,4,4,5,5,30000,1.7,00:00,23:59,1,0,1439,1,0,24.0,2,2,1,0,3,-20000.0,-1.3,0.5,1.0
u1,12,2.0,a,4,Solo study,1,2,2,4,5,2,3.0,Afternoon,Sometimes,1,"50,000",50000.0,0,3,0,0.5,Pasar 8 Area Alam Sutera,Alam Sutera,Outdoor,https://maps.app.goo.gl/iqbETYeB3jXbb1s86,5,5,4,1,1,65000,4.0,07:00,23:59,1,420,1439,0,0,16.983333333333334,3,3,-3,-4,3,15000.0,1.0,0.5,1.0
u1,17,4.0,a,4,Solo study,1,2,2,4,5,2,3.0,Afternoon,Sometimes,1,"50,000",50000.0,0,3,0,0.5,LKC General Area,BINUS Alam Sutera,Campus Space,https://maps.app.goo.gl/CRkRgCxV6U5izVxt5,4,4,4,3,5,0,0.0,09:00,17:00,0,540,1020,0,0,8.0,2,2,-1,0,3,-50000.0,-3.0,0.5,1.0
u1,21,2.0,a,4,Solo study,1,2,2,4,5,2,3.0,Afternoon,Sometimes,1,"50,000",50000.0,0,3,0,0.5,A-Ramen Pacific Garden,Alam Sutera,Restaurant / Fast Food,https://maps.app.goo.gl/rHkxa5gbkwYmEafZA,2,2,2,1,1,50000,0.3,10:00,22:00,1,600,1320,0,0,12.0,0,0,-3,-4,1,0.0,-2.7,0.5,1.0
u1,36,5.0,a,4,Solo study,1,2,2,4,5,2,3.0,Afternoon,Sometimes,1,"50,000",50000.0,0,3,0,0.5,Jakarta Coffee House Alam Sutera,Alam Sutera,Cafe,https://maps.app.goo.gl/fw5KDdZDCNCRgrcG8,2,2,4,4,4,75000,2.4,08:00,23:59,1,480,1439,0,0,15.983333333333333,0,0,0,-1,3,25000.0,-0.6000000000000001,0.5,1.0
u2,1,5.0,b,1,Solo study,1,1,1,5,5,1,1.0,No Preference,Yes,1,0,0.0,0,1,0,1.0,LKC Discussion Room,BINUS Alam Sutera,Campus Space,https://maps.app.goo.gl/CRkRgCxV6U5izVxt5,1,1,8,3,5,0,0.0,09:00,17:00,0,540,1020,0,0,8.0,0,0,-2,0,7,0.0,-1.0,0.0,1.0
