model,fold,mae,rmse,r2
Mean Rating Baseline,1,0.8763326226012792,1.104503543751359,-0.0002756999632897994
Mean Rating Baseline,2,1.005543710021322,1.2247071939497982,-0.03807172082919563
Mean Rating Baseline,3,1.018939393939394,1.1839840570516214,-0.17069023877820722
Mean Rating Baseline,4,1.0200534759358288,1.2278684587859432,-0.008502934162536224
Mean Rating Baseline,5,1.0372103386809268,1.1953922065683624,-0.003961414499386029
Linear Regression,1,0.8733632704766302,1.1587305578592724,-0.10090643875713101
Linear Regression,2,0.9579470070947446,1.260578195714226,-0.0997713557626625
Linear Regression,3,0.8526157246124961,1.1076056828955931,-0.024520467656645506
Linear Regression,4,0.9010428521417314,1.060358356685512,0.2478944282791412
Linear Regression,5,0.8227741028809011,1.013597881808215,0.27818222885119803
Ridge Regression,1,0.971806978621544,1.16911540549015,-0.12072809130464313
Ridge Regression,2,0.9579010939924789,1.2254296805263882,-0.03929685302027219
Ridge Regression,3,0.7484315449120755,0.9639282370809092,0.224039358314847
Ridge Regression,4,0.8991502684356436,1.1037009703629173,0.18515251779713193
Ridge Regression,5,0.7527745348331569,0.9305111194851277,0.39166988551246973
Decision Tree Regressor,1,0.984771287825475,1.1918196769367753,-0.1646799359831037
Decision Tree Regressor,2,0.9166173073880716,1.17011280597405,0.05241476050114757
Decision Tree Regressor,3,0.8763902763902764,1.0340007130544133,0.10712232374526742
Decision Tree Regressor,4,0.9403056539420176,1.2077352392946459,0.024298537735300885
Decision Tree Regressor,5,0.6236208236208236,0.8070893520313923,0.5423437297194122
Random Forest Regressor,1,0.8399039675471467,1.0590067365229825,0.08043393353326955
Random Forest Regressor,2,0.7635781977779961,1.0326427950985826,0.26198861622624803
Random Forest Regressor,3,0.7061218706502449,0.8636257404103551,0.3771242194518598
Random Forest Regressor,4,0.9123038959136219,1.137038743411796,0.1351834236626478
Random Forest Regressor,5,0.6577107254755418,0.8018280135779133,0.5482911161953605
KNN Regressor,1,0.9216445846138885,1.1350524774592257,-0.056373196163486794
KNN Regressor,2,0.8059385536064214,1.0555282856880217,0.22891443315696047
KNN Regressor,3,0.9200279199209258,1.108382079520873,-0.025957284085186272
KNN Regressor,4,1.0109073219038753,1.2128861276188696,0.015958222307706826
KNN Regressor,5,0.7477031988535924,0.921769000368655,0.4030466709327448
