transformed_feature,importance,absolute_value
numeric__price_gap,0.2154414055133051,0.2154414055133051
numeric__outlet_gap,0.13592091351200508,0.13592091351200508
numeric__distance_gap,0.08698843163498542,0.08698843163498542
numeric__crowd_gap,0.06366077154150146,0.06366077154150146
numeric__power_outlet_availability,0.05220651706787047,0.05220651706787047
numeric__wifi_gap,0.04649921119191851,0.04649921119191851
numeric__table_capacity_gap,0.037580361248797156,0.037580361248797156
numeric__distance_to_binus_km,0.03684860164575515,0.03684860164575515
numeric__noise_level,0.034697135823911436,0.034697135823911436
numeric__opening_duration_hours,0.030973356452365798,0.030973356452365798
numeric__noise_gap,0.027065794194947118,0.027065794194947118
numeric__wifi_quality,0.02170952307799166,0.02170952307799166
numeric__average_price,0.01935137312818171,0.01935137312818171
numeric__crowd_level,0.017265394628834592,0.017265394628834592
numeric__study_frequency,0.01347356417715116,0.01347356417715116
numeric__avg_session_spending_numeric,0.012340191254307716,0.012340191254307716
numeric__sunday_match,0.012272240483293402,0.012272240483293402
numeric__table_capacity_importance,0.010950246104837387,0.010950246104837387
numeric__study_on_sundays_numeric,0.010550450319702056,0.010550450319702056
numeric__usual_group_size,0.010091334294770896,0.010091334294770896
categorical__place_type_Cafe,0.010055029700617753,0.010055029700617753
numeric__wifi_importance,0.008613339552527249,0.008613339552527249
categorical__main_study_purpose_Casual study,0.00840304910200093,0.00840304910200093
numeric__outlet_importance,0.00802326157997581,0.00802326157997581
numeric__distance_tolerance,0.007561188094347024,0.007561188094347024
numeric__crowd_tolerance,0.007096949624367921,0.007096949624367921
numeric__noise_tolerance,0.0068994444787927175,0.0068994444787927175
categorical__preferred_study_time_Afternoon,0.004620074295849921,0.004620074295849921
numeric__table_capacity,0.004288459441874768,0.004288459441874768
categorical__preferred_study_time_No Preference,0.004179499142357287,0.004179499142357287
categorical__area_Alam Sutera,0.0038726424476393856,0.0038726424476393856
numeric__is_24_hours,0.003153558446124936,0.003153558446124936
categorical__main_study_purpose_Coding / laptop work,0.0029387755314180114,0.0029387755314180114
categorical__place_type_Restaurant / Fast Food,0.002733397339241368,0.002733397339241368
categorical__place_type_Coworking Space,0.0026330359548533745,0.0026330359548533745
categorical__main_study_purpose_Group assignment / discussion,0.0024383830182637513,0.0024383830182637513
categorical__main_study_purpose_Solo study,0.002328599659115321,0.002328599659115321
numeric__preferred_time_match,0.0019739067156013122,0.0019739067156013122
numeric__open_on_sundays,0.0019505854594929761,0.0019505854594929761
numeric__distance_tolerance_unlimited,0.0017209047000195106,0.0017209047000195106
numeric__avg_session_spending_open_ended,0.001635077646657854,0.001635077646657854
categorical__area_BINUS Alam Sutera,0.0014243386954522009,0.0014243386954522009
categorical__preferred_study_time_Morning,0.0012518855710196889,0.0012518855710196889
categorical__area_Gading Serpong,0.0010562388331761539,0.0010562388331761539
categorical__preferred_study_time_Evening,0.0009800288134830617,0.0009800288134830617
categorical__place_type_Outdoor,0.0008840006753133696,0.0008840006753133696
categorical__place_type_Campus Space,0.0007404413297606026,0.0007404413297606026
categorical__main_study_purpose_Exam preparation,0.0003300467986039053,0.0003300467986039053
numeric__closes_next_day,0.00020305123015078045,0.00020305123015078045
categorical__area_BSD,9.328994577875584e-05,9.328994577875584e-05
categorical__area_Karawaci,1.9219754052151113e-05,1.9219754052151113e-05
categorical__area_Modernland,1.1479125636832126e-05,1.1479125636832126e-05
categorical__area_Banjar Wijaya,0.0,0.0
